acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.124,0.512,0.131,-66.7,-82.1,-99.8,Forehand
-0.078,0.53,0.07,-53.3,-102.8,-97.6,Forehand
-0.083,0.69,0.117,-45.5,-75.2,-75,Forehand
-0.466,0.173,0.305,-62,-110.2,-110,Forehand
-0.38,0.269,0.161,-40.9,-138.2,-96.9,Forehand
-0.243,0.344,-0.013,-55,-102.6,-92.3,Forehand
-0.329,0.59,0.221,-83,-32.1,-40.6,Forehand
-0.663,0.072,0.577,-116.4,-75.7,-36,Forehand
-0.918,-0.022,0.615,-56.8,-39,-78.8,Forehand
-0.647,0.273,0.892,-48.8,9.1,-113.1,Forehand
-0.214,0.428,0.164,-45.8,-0.8,-19.7,Forehand
-0.198,0.64,-0.001,-56.5,-4.8,-13.8,Forehand
-0.559,0.912,0.399,4.8,46.2,39,Forehand
-0.273,0.832,0.268,-30.5,44.6,31.4,Forehand
-0.229,0.722,0.597,-23.4,13.9,-3.9,Forehand
-0.167,0.815,0.434,-14.1,-38.9,46.9,Forehand
-0.06,0.627,0.184,-18.8,-50.7,-3.5,Forehand
-0.448,0.102,-0.253,-65.1,-90.6,-40.4,Forehand
-0.162,0.116,-0.117,-68.7,-66.2,-40.9,Forehand
0.025,0.163,0.063,-39.9,-62.7,-70.8,Forehand
-0.16,0.362,0.167,-8.4,-100.2,-15.5,Forehand
-0.248,0.792,0.647,-1.5,6,-77.8,Forehand
-0.076,0.506,0.294,-10.2,-32.8,-47.3,Forehand
-0.246,0.521,0.038,-20.9,12.1,-87.9,Forehand
-0.084,0.817,0.43,-28.1,10.5,-74.5,Forehand
0.018,0.7,0.415,-29.3,17.5,-99.4,Forehand
-0.009,0.766,0.487,-15.3,-9,-98.5,Forehand
-0.171,0.922,0.238,12.6,-57.2,-28.8,Forehand
-0.483,0.843,-0.209,-24.7,4.2,-66.4,Forehand
-0.559,0.274,-0.528,-19.5,-46.6,-58.8,Forehand
-0.551,0.509,-0.06,6,16.6,-25.4,Forehand
-0.44,0.007,-0.448,54.8,63.3,29.7,Forehand
-0.186,0.12,-0.351,23.9,57.1,32.5,Forehand
-0.201,0.024,-0.048,-19.6,49.2,-24,Forehand
-0.273,0.309,0.105,-21.7,28.5,-69.2,Forehand
-0.231,0.413,-0.066,1.2,2.6,-61.1,Forehand
-0.584,0.73,0.347,51,-47.9,1.1,Forehand
-0.279,0.643,0.328,38.5,-24.6,-3,Forehand
-0.153,0.888,0.634,26.5,-33.4,-83.3,Forehand
-0.218,0.797,0.19,39.8,-66.6,-41.8,Forehand
-0.574,0.836,-0.248,-15.5,-3.3,-67.1,Forehand
-0.403,0.687,-0.363,27.2,47.4,-72.4,Forehand
-0.351,0.7,0.02,16.6,31.6,-108,Forehand
-0.399,0.755,0.112,36.5,-24.8,-72,Forehand
-0.316,0.743,-0.11,29,-39.9,-64,Forehand
-0.653,0.994,-0.488,-26.8,18.1,-69.5,Forehand
-0.462,0.939,-0.597,-22.3,35.4,-75.3,Forehand
0.188,0.76,0.012,47.2,-72.8,-21.8,Forehand
0.018,0.713,-0.351,20.4,-56.6,-67.4,Forehand
-0.044,0.17,-0.681,-33.7,-81.7,-8.3,Forehand
0.07,0.278,-0.612,-77,-50.7,-25.1,Forehand
-0.043,0.337,-0.09,-111.6,-90.6,-46,Forehand
0.034,0.436,-0.072,-79.3,-101.9,-7.8,Forehand
0.031,0.504,-0.241,-73.7,-77.9,-20.2,Forehand
-0.376,0.244,-0.031,-9,-12.3,19.3,Forehand
-0.235,0.453,0.047,-20.1,6,9,Forehand
-0.163,0.513,0.163,-17.8,-8.7,-18.7,Forehand
-0.279,0.759,0.152,-13.1,-57,10.8,Forehand
